russian_name	english_name	shop_link	min_players	max_players	min_ideal_players	max_ideal_players	min_play_time	max_play_time	rule_time	min_age	year	genres	complexity	description	owner	note	photo_link	tesera_link
7 чудес	7 Wonders	https://hobbygames.ru/7-chudes	3	7	4	7	30	45	5	10	2020	экономика	2,3	Draft cards to develop your ancient civilization and build its Wonder of the World.	SCHOOL 21		https://tesera.ru/images/items/1824180,3/600x600xpa/photo1.jpg	https://tesera.ru/game/7-wonders-second-edition/
Азул: Летний дворец	Azul: Summer Pavilion	https://hobbygames.ru/azul-letnij-dvorec	2	4	2	4	30	45	10	8	2019	логические	2,06	You're an artisan working on creating striking patterns within a king's palace.	SCHOOL 21		https://tesera.ru/images/items/1518653,3/600x600xpa/photo1.jpg	https://tesera.ru/game/azul-summer-pavilion/
Алое восстание	Red Rising	https://www.lavkaigr.ru/shop/kartochnye/aloe-vosstanie/	1	6	3	3	45	60	15	14	2021	карты	2,29	Craft a hand of powerful characters from the dystopian world of Red Rising.	bernarda		https://tesera.ru/images/items/1822906,3/600x600xpa/photo1.jpg	https://tesera.ru/game/red-rising/
Билет на поезд: Европа	Ticket to Ride: Europe	https://hobbygames.ru/ticket-to-ride-evropa-izdanie-na-russkom-jazike	2	5	2	5	40	60	10	8	2005	экономика	1,92	Build train routes across Europe in this sequel to the hit family board game.	SCHOOL 21		https://tesera.ru/images/items/1700,3/600x600xpa/photo1.jpg	https://tesera.ru/game/ticket-ride-europe/
Битва за Рокуган	Battle for Rokugan	https://hobbygames.ru/bitva-za-rokugan	2	5	3	5	60	90	10	14	2017	война	2,76	Bluff and misdirect your clan's way to victory in a minis-on-a-map without the minis.	SCHOOL 21		https://tesera.ru/images/items/1078358,3/600x600xpa/photo1.jpg	https://tesera.ru/game/battle-for-rokugan/
Борьба за галактику	Race for the Galaxy	https://www.mosigra.ru/Galaxy/rules/	2	4	2	3	30	60	25	13	2007	экономика	2,99	Worlds await! Colonize, develop and conquer, taking advantage of others' choices.	bernarda		https://tesera.ru/images/items/238,3/600x600xpa/photo1.jpg	https://tesera.ru/game/race-for-the-galaxy/
Бэнг!	Bang!	https://hobbygames.ru/bjeng	4	7	5	7	20	40	10	8	2002	компанейские	1,63	Be the last one standing in this wild west shootout game with hidden roles.	SCHOOL 21		https://tesera.ru/images/items/4966,3/600x600xca/photo1.jpg	https://tesera.ru/game/bang/
Великий Западный Путь. Второе издание	Great Western Trail (Second Edition)		1	4	3	3	75	150		12	2021	экономика	3,72	Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City	SCHOOL 21		https://tesera.ru/images/items/1931410,3/600x600xpa/photo1.jpg	https://tesera.ru/game/great-western-trail-second-edition/
Двор чудес	The Court of Miracles	https://hobbygames.ru/dvor-chudes-korolevstvo-parizhskih-brodjag	2	5	2	5	30	60	10	10	2019	азартные	2,17	Secretly send out your band of beggars to control the neighborhoods of Paris.	SCHOOL 21		https://tesera.ru/images/items/1583397,3/600x600xpa/photo1.jpg	https://tesera.ru/game/La-Cour-des-Miracles/
Дженга	Jenga		1	8	2	6	20	30	1	5	1983	лоческие	1,1	How high can you go before your tower comes crashing down!?	SCHOOL 21		https://tesera.ru/images/items/1893,3/600x600xpa/photo1.jpg	https://tesera.ru/game/jenga/
Дубль 2	Dobble	https://znaemigraem.ru/catalog/dubl_2_krasnyy/	2	8	3	5	15	30	2	6	2009	компанейские	1,03	Quick! Which symbol is on both cards? Race others to gather or dump your cards.	SCHOOL 21			https://tesera.ru/game/Spot-It/
Дюна: Империя	Dune: Imperium		1	4	3	4	60	120	15	13	2020	экономика	3,05	Influence, intrigue, and combat in the universe of Dune.	SCHOOL 21			https://tesera.ru/game/dune-imperium/
Ёрш Баня		https://www.mosigra.ru/image/data/mosigra.product.other/530/301/ersh_babya_rules.pdf	4	9	4	9	20	40	3	18	2014	компанейские	1		elenemar	в кампусе пить только безалкогольные напитки!		https://tesera.ru/game/ershban/
Живой лес	Living Forest		2	4	2	4	40	40		10	2021	карты	2,19	Use the powers of your animal guardians to protect the living forest.	SCHOOL 21			https://tesera.ru/game/living-forest/
За бортом. 2-е издание	Lifeboat		4	6	4	6	30	40	8	16	2019	приключения	1,74	Supplies are tight on the lifeboat. Protect your love and take out your rival	SCHOOL 21			https://tesera.ru/game/za-bortom-2-izdaniye/
Звездные империи (+ Все дополнения)	Star Realms	https://hobbygames.ru/zvezdnie-imperii-2-e-rus-izd	1	6	2	2	15	30	5	12	2013	война	1,92	Compete head-to-head to create the most powerful deck of spaceships and bases.	bernarda	В черной деревянной коробке. Все дополнения, вышедшие на русском языке.		https://tesera.ru/game/star-realms/
Зверь	Beast	https://hobbygames.ru/zver	2	4	3	4	60	120	15	14	2022	приключения	2,98	Hunters cooperate to track and take down ancient Beasts threatening their settlements	SCHOOL 21			https://tesera.ru/game/beast/
Зомби-котята	Zombie kittens	https://hobbygames.ru/download/rules/Zombie_Kittens_Rules.pd	2	5	3	5	10	15	2	7	2022	компанейские	1,09	Ask for favors, attack friends, see the future- whatever it takes to avoid exploding!	elenemar	потеряны карты		https://tesera.ru/game/ershban/
Имаджинариум		https://www.mosigra.ru/imadjinarium/	4	7	4	6	30	50	10	8	2011	компанейские	1,08	Give the perfect clue so most (not all) players guess the right surreal image card.	sgoldenf			https://tesera.ru/game/imaginarium/
Индустрия	Furnace	https://hobbygames.ru/industrija	2	4	3	4	30	60	10	12	2020	экономика	2,32	19th century capitalists manipulate the market and manage their industrial empires	SCHOOL 21			https://tesera.ru/game/furnace/
Каркассон. Королевский Подарок	Carcassonne. Big Box	https://hobbygames.ru/karkasson-korolevskij-podarok	2	5	3	5	30	90	7	8	2013	экономика	1,78	Shape the medieval landscape of France, claiming cities, monasteries and farms	minellaa			https://tesera.ru/game/karkasson-korolevskii-podarok/
